UserTags,time,Tweets
nan,2024-05-11T19:24:25.000Z,nan
nan,2024-05-11T19:15:00.000Z,nan
nan,2024-05-11T16:38:26.000Z,nan
nan,2024-05-11T16:31:58.000Z,nan
nan,2024-05-11T16:15:42.000Z,nan
real madrid cf,2024-05-11T16:12:08.000Z,
nan,2024-05-11T16:09:12.000Z,nan
nan,2024-05-11T16:38:26.000Z,nan
nan,2024-05-11T16:15:42.000Z,nan
nan,2024-05-11T16:12:08.000Z,nan
nan,2024-05-11T16:09:12.000Z,nan
nan,2024-05-11T16:15:42.000Z,nan
nan,2024-05-11T16:12:08.000Z,nan
nan,2024-05-11T16:09:12.000Z,nan
nan,2024-05-11T16:15:42.000Z,nan
nan,2024-05-11T16:12:08.000Z,nan
nan,2024-05-11T16:09:12.000Z,nan
nan,2024-05-11T16:15:42.000Z,nan
nan,2024-05-11T16:12:08.000Z,nan
nan,2024-05-11T16:09:12.000Z,nan
real madrid cf,2024-05-11T19:24:25.000Z,¡ suma triunfo de liga como madridista
real madrid cf,2024-05-11T19:15:00.000Z,
real madrid cf,2024-05-11T16:38:26.000Z,¡hala madrid
real madrid cf,2024-05-11T16:31:58.000Z,¡arranca el partido
real madrid cf,2024-05-11T16:15:42.000Z,
real madrid cf,2024-05-11T16:12:08.000Z,
real madrid cf,2024-05-11T16:09:12.000Z,
real madrid cf,2024-05-11T08:10:17.000Z,¡hoy jugamo 1830 cest estadio nuevo los cármene
real madrid cf,2024-05-11T08:00:00.000Z,¡feliz cumpleaño
real madrid cf,2024-05-10T20:00:00.000Z,convocado con brasil para la
real madrid cf,2024-05-09T19:26:35.000Z,por si te lo perdist ¡aquí tien el partido completo contra el bayern de múnich para premium
real madrid cf,2024-05-09T19:00:01.000Z,¡remontada la final de la diari
real madrid cf,2024-05-09T18:30:00.000Z,el president felicitó al equipo tras el pase la final
real madrid cf,2024-05-09T18:00:00.000Z,made
real madrid cf,2024-05-09T17:00:01.000Z,
real madrid cf,2024-05-08T23:04:38.000Z,2022 joselu acud como aficionado la final de la 2024 joselu lleva al la final de la
real madrid cf,2024-05-08T23:01:07.000Z,nan
real madrid cf,2024-05-08T22:56:46.000Z,¡ cumpl partido con el
real madrid cf,2024-05-08T22:55:21.000Z,ha pasado otra vez ha sido algo mágico
real madrid cf,2024-05-08T22:52:48.000Z,¡el resumen del partido ya dispon grati en
real madrid cf,2024-05-08T21:48:57.000Z,
real madrid cf,2024-05-08T21:38:07.000Z,esto es el real madrid club de fútbol
real madrid cf,2024-05-08T21:25:31.000Z,¡sigu todo el pospartido grati en
real madrid cf,2024-05-08T21:19:06.000Z,¡vaaaaaaamoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
real madrid cf,2024-05-08T21:17:01.000Z,
real madrid cf,2024-05-08T18:52:15.000Z,
real madrid cf,2024-05-08T18:47:17.000Z,¡vamo equipo
real madrid cf,2024-05-08T18:24:05.000Z,
real madrid cf,2024-05-08T18:20:30.000Z,
real madrid cf,2024-05-08T18:09:35.000Z,el xi inici de nuestro rival
real madrid cf,2024-05-08T12:00:00.000Z,
real madrid cf,2024-05-08T11:00:00.000Z,¡esto son los horario del partido
real madrid cf,2024-05-08T10:00:01.000Z,admin cam ¡nuestro gole en la ida de las semifinal
real madrid cf,2024-05-08T08:30:00.000Z,¡sigu toda la previa del partidazo grati en realmadrid tv desd las 11h15 cest
real madrid cf,2024-05-08T07:23:00.000Z,¡a por el pase la final 2100 cest santiago bernabéyou
