UserTags,time,Tweets
Barack Obama,2024-05-28T18:17:42.000Z,"When Brian Wallach was diagnosed with ALS, he was given six months to live. 
@bsw5020
 and 
@sabrevaya
’s film, For Love & Life: No Ordinary Campaign, chronicles their incredible journey, and proves that all of us are far more powerful than we know. I hope you’ll watch it on Prime"
Barack Obama,2024-05-27T21:04:57.000Z,"Bill Walton was one of the greatest basketball players of all time – a champion at every level and the embodiment of unselfish team play. He was also a wonderful spirit full of curiosity, humor and kindness. We are poorer for his passing, and Michelle and I send our deepest"
Barack Obama,2024-04-09T04:01:08.000Z,"Congrats to the back-to-back national champs, 
@UConnMBB
! Great season by an incredibly impressive team."
Barack Obama,2024-04-07T21:20:24.000Z,"Congrats to 
@GamecockWBB
 and Coach 
@DawnStaley
 on a perfect season and their third title! It's been an incredible year for women's basketball, and this team was so disciplined and talented. Well deserved."
Barack Obama,2024-03-31T14:00:24.000Z,"From our family to yours, we hope you have a wonderful and blessed Easter!"
Barack Obama,2024-03-30T19:30:06.000Z,"From record-breaking job growth to expanding health care coverage, 
@JoeBiden
 has spent each and every day working on behalf of the American people. I can’t say the same about the guy running against him."
Barack Obama,2024-03-28T18:30:18.000Z,This is important work being led by President Biden and Vice President Harris. We can drive innovation while also creating the right safeguards and oversight of artificial intelligence.
Barack Obama,2024-03-27T23:20:39.000Z,"Joe Lieberman and I didn’t always see eye-to-eye, but he had an extraordinary career in public service, including four decades spent fighting for the people of Connecticut. He also worked hard to repeal “Don’t Ask Don’t Tell” and helped us pass the Affordable Care Act. In both"
Barack Obama,2024-03-26T21:49:39.000Z,"In your early 20s? You might not know that the Affordable Care Act is the reason you can stay on your parents’ health care plan until you’re 26. Before the ACA, health care companies could kick you off earlier – sometimes right after college.

It’s another reason why we need to"
Barack Obama,2024-03-19T12:00:47.000Z,"My picks are in! I sat down to talk about them with 
@CraigMalRob
 and 
@UKCoachCalipari
 on their podcast Ways To Win from 
@HGMedia
. Check out our conversation wherever you get your podcasts. And please don’t rub it in when my bracket gets busted. http://apple.co/waystowin"
Barack Obama,2024-03-08T23:04:36.000Z,"It’s always great checking in on the progress at the Obama Presidential Center. Yesterday, I had a chance to see a preview of the ‘Power of Words’ exhibit. 

When it opens, Michelle and I hope the Center will be a place where visitors from Chicago and beyond will come to reflect"
Barack Obama,2024-03-08T20:15:19.000Z,"This is who we need leading the country for the next four years. Congrats to 
@POTUS
 on a powerful State of the Union address last night."
Joe Biden,2024-03-05T13:21:05.000Z,"If you’re in a Super Tuesday state or territory, polls are starting to open.

Now is the time to make your voice heard.

Confirm your polling place at http://IWillVote.com."
Barack Obama,2024-02-27T15:04:06.000Z,"Ten years ago today we launched the 
@MBK_Alliance
 to build safe communities and expand opportunities for boys and young men of color. I'm so proud of the work that more than 100 MBK communities across the country are doing, and can’t wait to see what they accomplish over the next"
Barack Obama,2024-02-23T18:52:25.000Z,"Wisconsin made history this week! 
@GovEvers
 signed into law new, competitive state legislative maps that get rid of one of the most gerrymandered maps in the country. Wisconsinites will now have a real shot at electing leaders who are responsive to the will of the people."
Barack Obama,2024-01-15T15:01:44.000Z,"Dr. King’s commitment to equality and justice inspired generations to fight for civil rights. His words continue to resonate around the world, and #MLKDay serves as a reminder to all of us to keep building on his legacy. If you can, take a moment today to think about how you can"
Barack Obama,2024-01-10T22:13:23.000Z,"Thanks to 
@POTUS
' leadership, Obamacare is once again setting new records for enrollment. If you're looking for quality, affordable health coverage, you can still enroll now at http://HealthCare.gov."
Barack Obama,2023-12-29T15:00:46.000Z,Here are some of my favorite songs from this year. Let me know if there are any artists or songs I should check out.
Barack Obama,2023-12-27T21:00:43.000Z,"Earlier this year, writers and actors went on strike to advocate for better working conditions and protections. It led to important changes that will transform the industry for the better.

Here are some films that reflect their hard work over the last year — including some like"
Barack Obama,2023-12-28T23:35:40.000Z,Update: I just saw The Color Purple and loved it. I'm adding it to this list as one of my favorite movies of the year.
Barack Obama,2023-12-25T15:10:53.000Z,"This year has tested us in many ways, but Christmas is a reminder of the power of community to keep us together even in difficult times. Wishing you all a peaceful holiday."
