UserTags,time,Tweets
Globe Eye News,2023-10-28T20:15:45.000Z," 𝗪𝗔𝗧𝗖𝗛: The largest pro-Palestinian protest, attended by 1.5 million people, took place in Istanbul, Turkey.

#Gaza #Hamas #Palestine #Israel #CeasefireNOW #starlinkforgaza #غزة_الآن"
The Intellectual,2024-05-29T07:44:31.000Z,"They were silent on October 7th ...massacare of Israelies

#BoycottBollywood #Gaza  #AlleyesonRafah #RafahOnFire 
#Palestine #AnushkaSharma"
Vishwas Goswami,2024-05-29T10:50:57.000Z,"The Reason To Boycott Bollywood Idiots 

#Rafah_Land_Of_Terrorists #Gaza #AllEyesOnRafah #ElvishYadav"
Dr Fazila 🆇Official,2024-05-29T03:32:42.000Z,"एक #DhruvRathee और 
@therantinggola
 लड़की हैं जो वाकई में ज़ुल्म के ख़िलाफ़ अपनी आवाज़ को हर हाल में बुलंद रखें हुए हैं . thanks my dear  

#DhruvRathee #UmarKhalid
#Ritika #Dictatorship  #Rohit  #Palestine #Manipur #Gaza #AllEyesOnRafah"
Syrian Girl,2024-05-28T11:21:44.000Z,This is what they call a precision genocide.#Gaza
SissiEmperatriz,2024-05-23T13:35:08.000Z,"Video grabado por un terrorista de #Hamás el 7/10.

Lanzaron granadas y dispararon dentro de refugios con decenas de jóvenes. 

A muchos los secuestraron, subiéndolos a vehículos y llevándolos a #Gaza.

Esto NO es resistencia. Es TERRORISMO

Fuente: "
DJ SNAKE,2024-05-27T15:38:57.000Z,HUMANITY IS FAILING #gaza
Sarah Wilkinson,2024-04-10T19:56:02.000Z,Caution graphic: israelis brutally target innocent children and families as they had their iftar outside Jabaliya girls' school in northern #Gaza
Middle East Observer,2024-05-29T18:16:28.000Z,"  A young man documents his injury after he was shot by an occupation drone, a Quadcopter, in #Rafah, south of the #Gaza Strip."
Motasem A Dalloul,2024-05-29T12:14:14.000Z,"Pictures taken secretly for Palestinian prisoners from #Gaza..

They are being harshly tortured..

Haaretz: 47 of them have passed away during interrogations.."
Berger Florian,2024-05-28T22:16:11.000Z,"Des militants de""Palestine Action"" coupent les câbles Internet de l'usine  Leonardo à Edinburg en #Ecosse ,  interrompant ainsi la production de systèmes de ciblage pour les avions de combat F-35 d'Israël utilisés par Tsahal pour sa guerre génocidaire dans la bande de #Gaza"
Santiago Evies אביעז,2024-05-27T18:28:42.000Z,"#URGENTE: Toda la familia en la FDI peleando por #Israel:

En Rafah: Una mujer soldado israelí se encuentra con su hermano que pelea en la brigada Nahal.

#Hamas #Gaza"
Mescidi Aksa Muhafızları,2024-05-29T17:03:34.000Z,"Mücahidler için eve yiyecek bırakıyor 

Gazze Şeridi'nden bir genç, yerinden edilmeden önce ağlıyor ve evine yiyecek bırakıyor..

“Direnişin yanındayız, devam edin ve yanınızdayız.”

#gaza"
Emelia,2024-05-26T07:30:22.000Z,killed by the Israeli army in #Gaza .
Vishwas Goswami,2024-05-29T11:17:27.000Z,"▪︎Why No One Bollywood Star And Actress Tallk About This Pakistani Hindus Children, They Are Also A Human.

▪︎When Ritika Post About Pakistani Hindu Children, When Other Bollwood Stars Can Post About Pakistani Children's????

#BoycottBollywood #Rafah_Land_Of_Terrorists #Gaza"
Motasem A Dalloul,2024-05-29T11:35:14.000Z,"The only survivor from Al Neder family.. He is now among more than 2 million displaced persons in #Gaza, BUT alone.. No one of his family members is still alive.."
Motasem A Dalloul,2024-05-22T14:22:35.000Z,Our kind neighbour Om Imad passed away after suffering severe chronic diseases and having no opportunity for treatment in #Gaza!
