UserTags,time,Tweets
dr lens veritatis,2024-05-23T01:29:29.000Z,breaking shocking footage emerged palestinian men ziptied forced bow kicked jenin occupied west bank
marion maréchal,2024-05-28T19:32:18.000Z,le hamas c’est les frères musulmans ils ont pour projet la conquête islamique de l’europe je souhaite l’interdiction de cette confrérie des frères musulmans au niveau européen
berger florian,2024-05-29T15:26:49.000Z,un colon israélien portant luniforme de larmée israélienne force les agriculteurs de susiya masafer yatta au sud dal khalil à proximité de à quitter leurs terres sous la menace dune arme nous sommes en pas à où israël à visage découvert
mrgunsngear,2024-05-24T14:54:21.000Z,truck driver take trash
abdul wahid,2024-05-26T21:25:18.000Z,wish woman’s message viral across muslim world able help need shamed like
syrian girl,2024-05-26T10:20:11.000Z,danas life israels genocide little girl
emelia,2024-05-26T07:30:22.000Z,killed israeli army
motasem dalloul,2024-05-22T14:22:35.000Z,kind neighbour om imad passed away suffering severe chronic diseases opportunity treatment
motasem dalloul,2024-05-29T16:32:15.000Z,israeli apache opening fire somewhere heads number journalists trying convey message dangerous conditions pray us
roni kaplan,2024-05-24T21:55:51.000Z,si israel pudiese habría si un solo muerto civil en mientras que si el hubiese podido hubiese asesinado millones de civiles israelíes el 710 conversación con
motasem dalloul,2024-05-29T11:35:14.000Z,survivor al neder family among 2 million displaced persons alone one family members still alive
vishwas goswami,2024-05-29T11:17:27.000Z,▪︎why one bollywood star actress tallk pakistani hindus children also human ▪︎when ritika post pakistani hindu children bollwood stars post pakistani childrens
emelia,2024-05-29T10:58:53.000Z,expelled supporting demonstrators greeted greeted supporters greet french mp sebastien delogue streets paris speaker parliament expelled punished raising flag
noura erakat,2024-05-27T15:36:20.000Z,palestinian parents holding onto ash remains children burnt alive tents
unrwa,2024-05-29T14:31:38.000Z,families flee intensification military operations people exhausted brutal violence impacts every aspect lives situation utterly desperate repeatedly proven matter families shelter safe
jan franke,2024-05-29T17:35:01.000Z,1 zie ik overal online dus daar gaan ik ben vaak geweest als journalist tussen 2013 en 2019 zo zag het eruit 2016 fotos van die witte tenten op foto 1 markeren de talloze smokkeltunnels naar het grensgebied met
mrgunsngear,2024-05-25T17:48:32.000Z,several us army ships including tug lcm beached israel enroute artificial pierport gaza could go wrong
sl kanthan,2024-05-28T20:30:06.000Z,psychopath nikki haley writing “finish them” shells fired rafah 999 ammunition kill civilians — majority women children us full deranged politicians
firdaus fiza,2024-05-29T01:46:49.000Z,एक dhruv rathee और एक ये pure soul लड़की हैं जो वाकई में ज़ुल्म के ख़िलाफ़ अपनी आवाज़ को हर हाल में बुलंद रखें हुए हैं शाबाश
damien maudet,2024-05-29T16:05:39.000Z,face aux fausses larmes de et aux insinuations du plateau de bfm je leur dis non les jeunes nont besoin de personne pour se mobiliser quand ils voient des civils se faire tuer et nous le disons comme eux avec force stop au massacre à
motasem dalloul,2024-05-22T06:28:23.000Z,good morning updates 1 israeli occupation forces reinvade al zaytoun neighbourhood displacing 10s 1000s people fled heavy bombardment 2 israeli occupation forces stormed kamal odwan hospital targeting
documenting,2024-05-29T12:53:26.000Z,kemenkes gaza penjajah laknatullah lakukan 6 kali pembantaian massal dalam 24 jam terakhir membunuh 75 warga terutama anakanak dan melukai 284 orang lainnya via
boban driçlek,2024-05-24T12:06:33.000Z,lancien député italien stefano apuzzo accroché des drapeaux palestiniens au balcon de la chambre des représentants apuzzo crié depuis le balcon les armes italiennes sont utilisées pour le génocide à il plus de 35 000 morts assez cest
dr lens veritatis,2024-05-29T14:34:12.000Z,breaking us senator lindsey graham visits netanyahu “i promise mr prime minister hold icc account outrage…to international court justice joke”
