UserTags,time,Tweets
Mack #TechforGood,2024-04-28T15:16:05.000Z," 100+ AI Tools for 2024 
#AI #Python #MachineLearning #BigData #javascript #HTML #IoT #ML #DataScience #ChatGPT #Web3 #GenerativeAI #LLM #LLama #ContentCreator #Coding #100DaysOfCode"
Subham Sahu,2024-05-05T14:55:27.000Z,"I've developed a #Python program for predicting height, but as a beginner, it's my first attempt, and currently, it's specifically designed for boys. Rest assured, I plan to expand it to include predictions for all genders in the future."
tommaso.algo,2024-04-29T07:43:03.000Z,"Some use cases for adding Algorand to your existing website:

1) Accepting Payments in USDC:
Integrate Algorand for seamless USDC payments, or any other coin, on your site. Say goodbye to high fees and slow transactions! #Python"
Aviral Srivastava,2024-04-30T08:34:24.000Z,"First self-made project in #Python 
You can access the code from here: https://aviral.code.blog/2024/04/30/number-gussing-game-in-python/…
And your suggestions are very precious to me!
#numberguessing"
Real Python,2024-05-05T15:00:39.000Z," In this tutorial, you'll learn how to create and use full-featured classes in your Python code. Classes provide a great way to solve complex programming problems by approaching them through models that represent real-world objects

#python"
Python Programming,2024-05-03T22:20:00.000Z,"30 Helpful Python Snippets You Should Learn Today
#python"
Simone Conradi,2024-04-30T19:17:40.000Z,"A zoo of symmetric attractors of  𝑫ₙ equivariant maps ℂ→ℂ. 
Made with #python, #matplotlib and #numpy."
Anna,2024-05-01T23:28:54.000Z,"In Germany, the average salary for #Python developers is $67K per annum. Close to the same salary ($69K)  is offered in Minneapolis.  How Google CEO is claiming Germany has cheaper labor.
@USTechWorkers"
Sreenivas Bhattiprolu,2024-04-30T18:00:38.000Z,"Can't believe it's been 5 years since I started my #Python tutorial channel! From learning new topics to almost hitting 100K subscribers, it's been an incredible journey. Massive thanks to all my subscribers!
#Microscopy #DeepLearning #Bioimageanalysis"
Logical Python,2024-05-01T19:18:56.000Z,"#python project 2 of today...
Radhika Chatbot
Project one is having a issue so will post it tomorrow (Goonga Assistant )
Please watch vdo to know more 
Get code from here
https://aviral.code.blog/2024/05/01/radhika-chat-bot-onlycode/…"
Abu siddik,2024-05-05T14:23:38.000Z,"Filter Function in Python.

#Python #Programming #Coding #pythonprogramming #100DaysofCode"
DaFluffyPotato,2024-05-01T13:30:33.000Z,"PYTHON is difficult to learn, but not anymore!

Introducing ""The Ultimate #Python ebook ""PDF.

You will get:

• 74+ pages cheatsheet
• Save 100+ hours on research

And for 24 hrs, it's 100% FREE!

To get it, just:

• Like & RT
• Reply "" Py""
• Follow me (so that I can DM)"
David Bombal,2024-05-03T23:12:22.000Z,"Planar Reflections 

#python / #pygame / #moderngl"
Michael Pyrcz,2024-05-05T13:31:33.000Z,"Hacking Wordpress with Python (using Dark Web and Telegram data)

YouTube video: https://youtu.be/Z8u4xw3YxFs

#SponsoredbyFlare #python #wordpress #tor #telegram #php #cybersecurity #infosec #hack #hacker #hacking #informationsecurity 
@flaresystems"
The Python Tutorial,2024-05-02T16:34:06.000Z,"Build a Secure Login System with with Firebase in Python Flet
☞ https://morioh.com/p/210bb158bf05?f=5cb7d89d660c8335951ca454…

#python #firebase #design"
MJ.algo,2024-05-05T14:27:00.000Z,"#Python still trending in the searches.

Try #AlgoKit today and get started in a few minutes. 
@algodevs"
MD Shamim Hossain Osman,2024-04-30T12:29:24.000Z,"How to check python version using oython system module 

#pythonprogramming #python #ArtificialIntelligence"
bangcoder,2024-05-01T16:16:11.000Z,"Build a FREE Chatbot in Python w/ Google Colab
#python"
Aman Kharwal,2024-04-27T19:15:24.000Z,"Learn how to collect data from a webpage using web scraping and building an ETL pipeline using the collected data with Python!

Link: http://bit.ly/web-data-etl

#DataScience #DataAnalytics #Python"
Python DEV,2024-04-28T08:20:27.000Z,"Make Modern Python Dashboards With Tkinter & Matplotlib
☞ https://morioh.com/p/644605a95fea?f=5cb7d89d660c8335951ca454…

#python #tkinter #matplotlib"
CoderDev,2024-05-04T18:03:27.000Z,"#Connect #letsconnect
Hello Guys 
Day 18 of CSS #100DaysofCode #365DaysOfCode
Today I practice in CSS & HTML
Have a nice day 
#Python #HTML #CSS #html #css #code #c #javascript #webdev #webdevelopment"
Data Structures and Algorithms,2024-05-02T08:48:00.000Z,"Build and Automate Your Python ETL Pipeline with Airflow
#python"
Python Developer,2024-05-04T04:49:51.000Z,"A kissing Schottky group fractal. Circles in title.
Made with #python, #matplotlib and #numpy iterating circle inversions."
SQL DEV,2024-05-01T10:37:39.000Z,"Master Data Structures and Algorithms in Python for Coding Interviews
☞ https://morioh.com/p/3d92bd4fdfa3?f=5cb7d89d660c8335951ca454…

#python #algorithm #datastructures"
Web Development,2024-04-27T16:24:41.000Z,"How to Create Payroll Management System with MySQL Database in Python - Full Tutorial
#python #mysql"
