UserTags,time,Tweets
,2024-05-11T19:40:00.000Z,
,2024-05-11T19:24:25.000Z,
,2024-05-11T19:15:00.000Z,
,2024-05-11T16:51:52.000Z,
,2024-05-11T16:38:26.000Z,
,2024-05-11T16:31:58.000Z,
Real Madrid C.F.,2024-05-11T16:15:42.000Z," @Camavinga
 
#GranadaRealMadrid"
,2024-05-11T16:12:08.000Z,
,2024-05-11T16:51:52.000Z,
,2024-05-11T16:31:58.000Z,
,2024-05-11T16:15:42.000Z,
,2024-05-11T16:12:08.000Z,
,2024-05-11T16:31:58.000Z,
,2024-05-11T16:15:42.000Z,
,2024-05-11T16:12:08.000Z,
,2024-05-11T16:31:58.000Z,
,2024-05-11T16:15:42.000Z,
,2024-05-11T16:12:08.000Z,
,2024-05-11T16:31:58.000Z,
,2024-05-11T16:15:42.000Z,
,2024-05-11T16:12:08.000Z,"Muchas gracias por un recibimiento tan bonito, 
@GranadaCF
. Esperamos veros pronto de vuelta en Primera División."
Real Madrid C.F.,2024-05-11T16:51:52.000Z," ¡HALA MADRID! 
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T16:38:26.000Z," ¡Arranca el partido!
 
@GranadaCF
  @RealMadrid
 https://bit.ly/GRAvsRMCFJ35
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T16:31:58.000Z," @Camavinga
 
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T16:15:42.000Z," @Lucasvazquez91
 
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T16:12:08.000Z," @nachofi1990
 
 @vinijr
 
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T10:20:00.000Z," ¡Hola, Granada! 
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T10:00:00.000Z," ¡Rumbo a Granada!
#GranadaRealMadrid"
Real Madrid C.F.,2024-05-11T08:45:00.000Z," ¡HOY JUGAMOS! 
 
@GranadaCF
 
 18:30 CEST
 Estadio Nuevo Los Cármenes
#GranadaRealMadrid
 
@HP"
Real Madrid C.F.,2024-05-11T08:10:17.000Z," ¡FELIZ CUMPLEAÑOS, 
@thibautcourtois
! "
Real Madrid C.F.,2024-05-11T08:00:00.000Z," ¡HISTORIA QUE TÚ HICISTE!
 
@JoseluMato9
#APorLa15 | #UCL"
Real Madrid C.F.,2024-05-10T09:30:00.000Z," Cuando el ADMIN da a REC  en el momento justo...
 
@JoseluMato9
 
#APorLa15 | #UCL"
