UserTags,time,Tweets
Juanrafael Hernandez,2024-04-28T22:00:01.000Z,How to clone a GitHub repository and import it to Unity. On my youtube channel https://youtu.be/c3vM029a93k #gamedev #unity #blog #github
Polkadot Leader,2024-05-01T16:19:45.000Z,"In the last 2 years #Polkadot has seen very impressive growth

With the staggering volume of #GitHub commits and the relentless activity of developers, I anticipate this momentum to not only persist but to surge even further ahead #Bullish "
Vincent Otieno,2024-04-28T08:56:34.000Z,"Don't forget to leave a Sub on my YouTube Channel:

Really Appreciated!!

https://youtube.com/@kwargdevs

[Tags: #softwaredeveloper #100DaysOfCode #python #github]"
Destiny Saturday,2024-05-05T20:57:33.000Z," What if you could get PAID for solving GitHub issues?

Over the next 30 days, I'm building GitEarn, a game-changing software that rewards devs for solving issues directly within GitHub!

Follow along as I build 
@gitearn
 from  idea to launch 
#GitEarn #GitHub #buildinpublic"
Pater Practicus,2024-05-03T16:08:40.000Z,I've been building up more content on my new website including a new section on  https://paterpracticus.com/downloads linking to   #GitHub repositories. Particularly handy will be the 3D print files for my call status indicator when I finish the follow-up to this: https://youtu.be/Ch0FHyCTUvo?si=mcSB_kNsH8CufrH…
Opire,2024-04-28T15:42:53.000Z," Solve this issue and earn $1,000.00! 

Details here: https://github.com/typeorm/typeorm/issues/3357… 

#EarnWithOpire #Rewards #GitHub #OpenSource #Opire"
Aakash Web,2024-05-05T18:00:03.000Z,"You can also use ""Git it write"" plugin to blog in #WordPress from the comfort of your favorite desktop IDE

Write your posts in #markdown format, push it to a #Github repository and voila your post is published in your website

More information - https://wordpress.org/plugins/git-it-write/…

#vscode"
Aniket,2024-05-05T23:29:57.000Z,"think i’ve written at least 30,000 lines of code in the past few months and have no green dots to show for it  #github"
David,2024-05-04T19:47:16.000Z,#GitHub stats are shaping up nicely…  https://github.com/cdaprod
Gani Mendoza,2024-05-04T00:02:30.000Z,"Is #GitHub a worthy alternative to #JIRA?

https://lightdash.com/blogpost/is-github-a-worthy-alternative-to-jira…"
Sa Aaron,2024-04-30T07:58:20.000Z,"Checkout my new project - Litemail
""A simple, lightweight, and fast email system built in PHP. Seamlessly send emails to other users, ensuring efficiency and ease of use.""
https://github.com/saaaron/Litemail…

#100DaysOfCode #GitHub #php #webdeveloper #developer #tech"
Asjad Naqvi,2024-05-02T14:35:09.000Z,"#Stata #splinefit is now upgraded from a random piece to code to a proper command. 

The command is still in a very early phase so please open issues, enhancement requests etc on #GitHub:

https://github.com/asjadnaqvi/stata-splinefit…"
