UserTags,time,Tweets
Inter Miami CF,2024-05-06T22:05:28.000Z, No caption needed 
Inter Miami CF,2024-05-06T22:05:30.000Z, Last but not least
Inter Miami CF,2024-05-06T20:04:01.000Z, More details: https://intermiamicf.co/MessiTOTM12
Inter Miami CF,2024-05-06T20:04:02.000Z,Familia gracias por el apoyo esta noche 
Inter Miami CF,2024-05-06T20:04:03.000Z,"Lluvia de goles en casa 

Goal Celebration x 
@CaptainMorganUS"
Inter Miami CF,2024-05-05T02:19:57.000Z, Highlights | Watch all the goals of the night here: https://intermiamicf.co/MIAvNYRBHLS
Inter Miami CF,2024-05-05T01:59:25.000Z,A NIGHT TO REMEMBER 
Inter Miami CF,2024-05-05T01:57:44.000Z,"90+6 | Goal for New York 

#MIAvNYRB | 6-2"
Inter Miami CF,2024-05-05T01:37:41.000Z,Making history… AGAIN:  assists  goal tonight for the 
Inter Miami CF,2024-05-05T01:35:54.000Z,"45’ | #PubSub x 
@Publix
IN: M. Rojas
OUT: D. Ruiz 

#MIAvNYRB 0-1"
Inter Miami CF,2024-05-05T01:32:09.000Z,"Here we go again! VAMOS! 

Watch the 2nd half here: https://intermiamicf.co/MIAvNYRBstream"
Inter Miami CF,2024-05-05T00:45:14.000Z,Down at the break. #VamosMiami
Inter Miami CF,2024-05-05T00:42:38.000Z,"29’ I Goal for New York.

#MIAvNYRB 0-1"
Inter Miami CF,2024-05-05T00:28:11.000Z,"We’re live from Chase Stadium 

#MIAvNYRB | Tune in here: https://intermiamicf.co/MIAvNYRBstream"
Inter Miami CF,2024-05-05T00:10:37.000Z,"Cada 31 minutos el juego cambia  Leo Messi conquista el Premio al Jugador del Mes de la 
@MLS
 en Abril tras 10 contribuciones de gol en 4 partidos."
Inter Miami CF,2024-05-04T23:44:26.000Z,Wishing you a very happy birthday DB
Inter Miami CF,2024-05-02T23:53:07.000Z,Flash to this incredible strike by Roby Taylor against NYRB!
Inter Miami CF,2024-05-02T21:57:26.000Z,"A class apart!  Leo Messi takes home the 
@MLS
 Player of the Month award in April with an impressive 6 goals and 4 assists!  

Details: https://intermiamicf.co/MessiAprilPOTM"
Inter Miami CF,2024-05-02T21:00:00.000Z,Working towards #MIAvNYRB 
Inter Miami CF,2024-05-02T19:35:12.000Z,Así fue el primer gol del 'Pipa' Higuain  #MIAvNYRB 
Inter Miami CF,2024-05-02T15:16:42.000Z,"88’ | EL PISTOLEROOO 

#NEvMIA | 1-4"
Inter Miami CF,2024-05-01T23:00:00.000Z,Impacto inmediato de Benja! 
Inter Miami CF,2024-04-28T01:30:49.000Z,"83’ | Cremaschi está de vuelta 

#NEvMIA | 1-3"
