UserTags,time,Tweets
Trustmefool,2024-04-26T21:34:58.000Z,"This is how the Israeli IDF thugs have been treating Palestinians of all 3 faiths for 76 yrs, long before October 7th. Now that same Zionist fascism has reached American soil. Welcome to the United States of Israel.
#Zionists #IsraeliNewNazism #ColumbiaUniversity #Gaza #Palestine"
𝐂𝐡𝐞 𝐆𝐮𝐞𝐯𝐚𝐫𝐚 ☭,2024-04-26T18:08:57.000Z,"| Americans, whether if you are pro-#Palestine, neutral or even against them.. The fact that the police is violently arresting people, being deployed fully armored to the teeth and snipers being around for simply protesting, you must be concerned.. Your freedom is a hoax 

  It…"
Karma Shopping,2024-04-23T00:07:34.000Z,"I don't know how many times I need to repeat what happened on that horrible day in September.

History has failed our society deeply beacuse god fobid we tell the truth that muslims were responsible for 9/11. So here's a refresher due to 
@Columbia
None of you #Palestine…"
Warrior,2024-04-26T02:00:28.000Z,"Thank you to 
@elisabethepps
 for coming to the Auraria campus tonight to show support for students who are standing with #Palestine and against genocide. "
Zain Dada,2024-04-26T08:12:32.000Z,The beautiful flag of #Hezbollah in student rallies and marches of American universities in support of #Gaza and #Palestine ۔
ليلى,2024-04-25T19:14:25.000Z,"Faculty walked out at University of Texas to defend UT students against arrests and repression. 

Even larger protests today against US backed genocide in Gaza. 

#UTAustin #Gaza #GazaGenocide #Palestine #FreePalestine"
The Resistance,2024-04-20T05:41:14.000Z,"Breaking News Kanye West reflects on the complexities surrounding why some celebrities may hesitate to openly support Palestine.

#Palestine 
#Israel #Geopolitics #Tensions #MiddleEast #conflict"
World War 3,2024-04-22T19:53:13.000Z,"#Palestine “I dreamed that I was martyred and buried”

Little Palestinian girl is suffering from nightmares due to the trauma caused by the continuous Israeli onslaughts in Gaza."
Freedom Truth Honor,2024-04-26T20:11:17.000Z,"#Palestine #AlAqsaFlood #Palestina #PalestinaLibre #Gaza #Gaza_Genocide #Gazabombing #Hezbollah #SouthLebanon #Lebanon 

#BenGvir 's wife asks you to pray for her husband, who is in intensive care after his car overturned.

MAY ALLAH CRIPPLES HIS BACKBONE FOREVER!"
FB,2024-04-23T19:39:39.000Z,"After pro #Palestine protests and arrests, #Columbia_University has announced classes will be remote for the rest of the year.. A new way to stop anti-Israel protests that showed how Israel is being rejected by young generations in The US #DeadpoolAndWolverine #ohmpawat #Gaza"
Haytham AlQabbani هيثم القباني,2024-04-24T23:08:51.000Z,"I visited the entitled useful idiots at the #emersoncollege pro-Hamas, anti-cop, anti-America encampment in #Boston and it went exactly as you'd expect.  #Palestine #Israel #IsraelHamasWar  
@TuckerCarlson
 #mapoli #bospoli  
@realDonaldTrump"
JohnFGately,2024-04-25T10:20:44.000Z,Free souls all over the world stand with #Palestine 
Palestine Info Center,2024-04-26T05:41:13.000Z,"#BREAKING | Snipers have been spotted on top of roofs at Ohio and Indiana universities as pro-Palestine protests causing a uproar 

#pechinoexpress| #Ohio | #Indiana | #Palestine | #ColumbiaUniversity"
South Today,2024-04-25T07:41:42.000Z,"Kay: Why do you think some of the bodies found in a mass grave at Nasser hospital were found with their hands bound? 

Israel's Special Envoy 
@FleurHassanN
 : Because we probably arrested the terrorists

Kay: And then killed them...? 

#KayBurley FC"
Kay Burley,2024-04-24T22:21:41.000Z,"US congress  Member, 
@Ilhan
  Omar, joins student demonstrations in support of #Palestine at the  #MinnesotaUniversity 

#GazaGenocides #GazaSolidarityEncampment #ColumbiaUniversity #StopTheGenocide #StopArmingIsrael"
Aidarouss Ahmed Hirsi,2024-04-26T19:35:35.000Z,#16 is factually incorrect: The Torah and Israeli Historians prove Israel went to Ethiopia the home of Moses’ wife - not #Palestine.
Abel Yibarek,2024-04-21T18:07:36.000Z,"Israel Has Launched Airstrikes On Rafah.
#Rafah #IsraeliTerrorists #Gaza #Palestine"
The Pakistan Frontier,2024-04-20T13:37:55.000Z,Massive crowds in Dublin today at IPSC pro Palestinian March. #palestine #Gaza
Martina Harrington,2024-04-22T16:10:10.000Z,"ARE THEY HAMAS? THE INNOCENT CHILDREN ARE GETTING RIPPED IN PIECES RIGHT IN FRONT OF YOUR EYES YET YOU CHOOSE TO TURN THE OTHER CHEEK SHAME ON YOU ALL…
#Palestine"
shameen suleman,2024-04-19T16:06:33.000Z,"I know how fed up with this shit I am over the  #Palestine
#protests, #HamasSupporters #Antisemitism #anti-american.

But what really bothers me is when I see my Jewish brothers and Sisters wondering where the support is for them.

When I see them post their fears.

When I see…"
PAME Greece International,2024-04-25T07:22:44.000Z,"Students of Texas University vs repression

YOU DO NOT SCARE US!
Even if you bring the cavalry...

Solidarity with #Palestine"
Nisar Ahmed,2024-04-25T19:04:47.000Z,"#ColumbiaUniversity #Gaza #Palestine 
@MiddleEastEye
 
Philosophy goes out of the window (or is imprisoned) when it comes to tyranny."
Veterans Party Of NC,2024-04-25T23:43:28.000Z,Might be a great time to send these anti-Americans to #Palestine to see how their counterparts would view them.
BetteDavisEyes,2024-04-20T22:50:13.000Z,"Let's make this racist fukka famous, Romford today, please share. Police have been notified. #islamaphobia #Palestine #RacistBritain"
Wasim Akram Tyagi,2024-04-25T07:30:18.000Z,"After hours of attacks & violence against peaceful students' protests Texas Police is forced to withdraw from University campus under celebrations of the students!

Free all the detained students!
Solidarity with #Palestine"
One America News,2024-04-26T05:25:28.000Z,"#X 
@X
 (formerly #twitter) has once again suspended the handle of 
@misra_amaresh
. Misra's tireless work in bringing hidden facts to light during the #Israel Vs #Palestine war has been matchless. The timing is suspicious. 
@ElonMusk
 believes in free speech. #RestoreMisra_Amaresh"
Kretakoa,2024-04-24T19:03:16.000Z,"Police arrest over 100 pro-Palestine protestors outside Senate Majority Leader Chuck Schumer’s house in Brooklyn.

What are your thoughts?

#palestine #israel #chuckschumer #brooklyn #breaking #latest #OAN"
Hen Papirman,2024-04-25T11:36:07.000Z,"#Heraklion #Crete for #Palestine, in memory of A. #Bushnell & R.#Alareer
If I must die, let it bring hope."
shmuel_calderon,2024-04-25T11:21:47.000Z,"#Gaza #Palestine 
@MiddleEastEye
#ColumbiaUniversity 
This doesn't allow any excuses:"
Apex,2024-04-24T20:34:02.000Z,"Best video you'll ever watch by Naftali Bennett. Explaining the history of the Jews and Zionism in Israel.

#StandWithIsrael 

#Palestine was a name for Israel."
Dr.Sabir Abu Maryam,2024-04-26T08:07:18.000Z,"Listen carefully to one of the protesters who explains in a detailed, comprehensive and reasoned way why they are protesting in favor of terrorism and against the existence of of Israel.

#NYU #columbia #palestine #israel #NYC #CityLife #urban 
#istandwithisrael #StandWithIsrael"
X Mughal,2024-04-19T11:33:07.000Z,Columbia University students gathered to protest against the institution's policy after suspending 15 students for supporting #Palestine.
